"gruppo" "time" "IL6"
"1" "AsaiapHM4" "24h" 4037.016
"2" "AsaiapHM4" "24h" 5321.358
"3" "AsaiapHM4" "24h" 5430.246
"4" "AsaiapHM4" "24h" 5814.004
"5" "AsaiapHM4" "24h" 5184.244
"6" "AsaiapHM4" "24h" 4901.764
"7" "AsaiapHM4" "24h" 3377.23
"8" "AsaiapHM4" "24h" 2439.866
"9" "AsaiapHM4" "24h" 2823.574
"10" "AsaiapHM4" "24h" 3679.206
"11" "AsaiapHM4" "24h" 3287.074
"12" "AsaiapHM4" "24h" 3918.33
"13" "AsaiapHM4" "24h" 3670.95
"14" "AsaiaWSP" "24h" 5249.018
"15" "AsaiaWSP" "24h" 5964.952
"16" "AsaiaWSP" "24h" 5299.396
"17" "AsaiaWSP" "24h" 6609.512
"18" "AsaiaWSP" "24h" 7593.092
"19" "AsaiaWSP" "24h" 7187.338
"20" "AsaiaWSP" "24h" 6861.13
"21" "AsaiaWSP" "24h" 4196.134
"22" "AsaiaWSP" "24h" 6471.406
"23" "AsaiaWSP" "24h" 5009.384
"24" "AsaiaWSP" "24h" 4906.912
"25" "AsaiaWSP" "24h" 4553.528
"26" "AsaiaWSP" "24h" 4484.792
